Genre,Number of Tracks
 Classic Rock,602
 Classic Schlager,370
 Classic Sinhala Pop,321
 Classic Soul,483
 Classic Soundtrack,309
 Classic Swedish Pop,482
 Classic Thai Pop,403
 Classic Turkish Pop,305
 Classic UK Pop,153
 Classical,468
 Classical Accordion,181
 Classical Baritone,196
 Classical Bass,248
 Classical Bassoon,184
 Classical Cello,374
 Classical Clarinet,204
 Classical Contralto,92
 Classical Countertenor,145
 Classical Era,231
 Classical Flute,297
 Classical Guitar,333
 Classical Guitar Duo,90
 Classical Guitar Quartet,83
 Classical Harp,184
 Classical Horn,124
 Classical Mandolin,133
 Classical Mezzo-Soprano,302
 Classical Oboe,235
 Classical Organ,273
 Classical Percussion,263
 Classical Performance,881
 Classical Piano,456
 Classical Piano Duo,181
 Classical Piano Trio,411
 Classical Saxophone,176
 Classical Saxophone Quartet,198
 Classical Soprano,648
 Classical String Trio,102
 Classical Tenor,398
 Classical Trombone,78
 Classical Trumpet,128
 Classical Tuba,102
 Classify,408
 Clawhammer Banjo,100
 Clean Comedy,127
 Cleveland Indie,140
 Coco,96
 Coldwave,103
 Collage Pop,104
 College A Cappella,300
 College Marching Band,155
 Cologne Electronic,145
 Cologne Indie,181
 Columbus Ohio Indie,253
 Combos Nacionales,67
 Comedia,147
 Comedienne,203
 Comedy,361
 Comedy Rap,105
 Comedy Rock,172
 Comic,356
 Comic Metal,118
 Commons,265
 Complextro,331
 Compositional Ambient,501
 Concepción Indie,134
 Concert Band,285
 Concertina,98
 Congo (Kinshasa),37
 Connecticut Hardcore,128
 Connecticut Indie,295
 Conscious Hip Hop,286
 Contemporary Classical,460
 Contemporary Classical Piano,132
 Contemporary Country,561
 Contemporary Folk,224
 Contemporary Gospel,362
 Contemporary Jazz,489
 Contemporary Post-Bop,455
 Contemporary Vocal Jazz,263
 Contrabass,175
 Cool Jazz,441
 Copla,168
 Coptic Hymn,66
 Cork Indie,141
 Cornetas y Tambores,303
 Cornish Folk,65
 Cornwall Indie,189
 Corrido,485
 Corridos Cristianos,162
 Corrosion,275
 Corsican Folk,223
 Cosmic American,141
 Cosmic Black Metal,146
 Cosmic Post-Rock,103
 Cosmic Uplifting Trance,183
 Country,583
 Country Blues,218
 Country Boogie,154
 Country Dawn,401
 Country Gospel,139
 Country Pop,657
 Country Québécois,149
 Country Rap,206
 Country Road,452
 Country Rock,796
 Coupe Decale,284
 Coventry Indie,99
 Coverchill,421
 Covertrance,222
 Cowboy Western,133
 Cowpunk,139
 Crack Rock Steady,163
 Crossover Prog,304
 Crossover Thrash,420
 Crunk,113
 Crust Punk,262
 Cryptic Black Metal,260
 Cuarteto,100
 Cuatro Venezolano,101
 Cuento Infantile,101
 Cumbia,561
 Cumbia Andina Mexicana,88
 Cumbia Ecuatoriana,218
 Cumbia Funk,139
 Cumbia Pop,425
 Cumbia Ranchera,361
 Cumbia Salvadoreña,141
 Cumbia Santafesina,139
 Cumbia Sonidera,409
 Cumbia Sureña,97
 Cumbia Villera,362
 Cyber Metal,183
 Cyberpunk,268
 Cymraeg,175
 Cypriot Pop,127
 Czech Contemporary Classical,125
 Czech Electronic,107
 Czech Folk,403
 Czech Hip Hop,107
 Czech Indie,225
 Czech Metal,180
 Czech Pop,179
 Czech Punk,156
 Czech Rock,482
 Cèilidh,180
 Côte D'Ivoire,76
 DC Hardcore,87
 DC Indie,234
 DFW Rap,169
 DIY Emo,317
 DIY Pop Punk,337
 Dabke,94
 Dainuojamoji Poezija,96
 Dakke Dak,109
 Dallas Indie,259
 Dance Pop,1135
 Dance Rock,612
 Dance-Punk,484
 Dancehall,416
 Dangdut,400
 Dangdut Koplo,131
 Dangdut Remix,142
 Danish Alternative Rock,171
 Danish Choir,98
 Danish Classical,105
 Danish Contemporary Classical,110
 Danish Electro,110
 Danish Electronic,154
 Danish Electropop,122
 Danish Experimental,157
 Danish Folk,143
 Danish Hip Hop,540
 Danish Indie,235
 Danish Indie Pop,139
 Danish Jazz,155
 Danish Metal,180
 Danish Modern Jazz,159
 Danish Pop,524
 Danish Pop Rock,120
 Danish Singer-Songwriter,101
 Danish Techno,110
 Dansband,365
 Danseband,339
 Dansk Lovsang,99
 Dansktop,356
 Danspunk,426
 Darbuka,122
 Dark Ambient,301
 Dark Black Metal,307
 Dark Cabaret,271
 Dark Disco,218
 Dark Electro,407
 Dark Electro-Industrial,220
 Dark Folk,101
 Dark Hardcore,124
 Dark Jazz,192
 Dark Minimal Techno,207
 Dark Post-Punk,362
 Dark Progressive House,254
 Dark Psytrance,282
 Dark Techno,360
 Dark Trap,454
 Dark Wave,341
 Darkstep,223
 Darksynth,147
 Dayton Indie,146
 Death 'N' Roll,151
 Death Industrial,117
 Death Metal,441
 Deathcore,442
 Deathgrass,135
 Deathgrind,364
 Deathrock,267
 Deathstep,141
 Deep Acoustic Pop,250
 Deep Active Rock,135
 Deep Adult Standards,276
 Deep Ambient,248
 Deep Big Room,516
 Deep Breakcore,200
 Deep Chill,225
 Deep Chill-Out,194
 Deep Christian Rock,290
 Deep Classic Garage Rock,151
 Deep Comedy,344
 Deep Contemporary Country,276
 Deep Cumbia Sonidera,339
 Deep Dance Pop,171
 Deep Darkpsy,237
 Deep Deep House,214
 Deep Deep Tech House,273
 Deep Delta Blues,135
 Deep Disco,279
 Deep Disco House,241
 Deep Discofox,139
 Deep DnB,240
 Deep Downtempo Fusion,134
 Deep Dubstep,338
 Deep East Coast Hip Hop,231
 Deep Euro House,253
 Deep Eurodance,192
 Deep Filthstep,216
 Deep Flow,158
 Deep Folk Metal,295
 Deep Free Jazz,232
 Deep Freestyle,267
 Deep Full On,190
 Deep Funk,105
 Deep Funk House,237
 Deep Funk Ostentação,219
 Deep G Funk,215
 Deep German Hip Hop,462
 Deep German Indie,187
 Deep German Punk,189
 Deep Gothic Post-Punk,171
 Deep Groove House,509
 Deep Happy Hardcore,196
 Deep Hardcore,215
 Deep Hardcore Punk,153
 Deep Hardtechno,259
 Deep House,653
 Deep Indie Pop,214
 Deep Indie Rock,211
 Deep Indie Singer-Songwriter,271
 Deep Italo Disco,218
 Deep Jazz Fusion,200
 Deep Latin Alternative,234
 Deep Latin Christian,372
 Deep Latin Jazz,242
 Deep Liquid,247
 Deep Liquid Bass,294
 Deep Melodic Death Metal,154
 Deep Melodic Euro House,529
 Deep Melodic Hard Rock,140
 Deep Melodic Metalcore,160
 Deep Metalcore,289
 Deep Minimal Techno,273
 Deep Motown,207
 Deep Neo-Synthpop,234
 Deep Neofolk,128
 Deep New Americana,560
 Deep New Wave,248
 Deep Norteño,349
 Deep Northern Soul,192
 Deep Orgcore,163
 Deep Pop Emo,167
 Deep Pop R&B,587
 Deep Power-Pop Punk,242
 Deep Progressive House,270
 Deep Progressive Trance,223
 Deep Psychobilly,301
 Deep Psytrance,178
 Deep Punk Rock,179
 Deep R&B,240
 Deep Ragga,263
 Deep Rai,227
 Deep Regional Mexican,366
 Deep Smooth Jazz,309
 Deep Soft Rock,229
 Deep Soul House,288
 Deep Soundtrack,204
 Deep Southern Soul,179
 Deep Southern Trap,358
 Deep Space Rock,204
 Deep Sunset Lounge,190
 Deep Surf Music,267
 Deep Swedish Rock,217
 Deep Symphonic Black Metal,209
 Deep Talent Show,408
 Deep Tech House,229
 Deep Techno,168
 Deep Tropical House,509
 Deep Turkish Pop,398
 Deep Underground Hip Hop,559
 Deep Uplifting Trance,260
 Deep Vocal House,170
 Deep Vocal Jazz,237
 Delaware Indie,104
 Delta Blues,143
 Dembow,122
 Demoscene,230
 Denpa-Kei,102
 Denton TX Indie,217
 Denver Indie,218
 Denver Rap,147
 Depressive Black Metal,292
 Derby Indie,159
 Derry Indie,113
 Desert Blues,138
 Desi Hip Hop,262
 Desi Pop,606
 Destroy Techno,200
 Detroit Hip Hop,315
 Detroit House,200
 Detroit Indie,159
 Detroit Techno,116
 Detroit Trap,244
 Detski Pesnichki,72
 Detskie Pesni,89
 Deutsch Disney,73
 Devon Indie,145
 Dhrupad,84
 Didgeridoo,245
 Digital Hardcore,133
 Dinner Jazz,381
 Dirty South Rap,387
 Dirty Texas Rap,262
 Disco,489
 Disco House,526
 Disco Polo,413
 Discofox,367
 Disney,174
 Disney Español,70
 Disney Italiano,91
 Disney Português,58
 Disney Português Brasil,72
 Disney Svenska,58
 Diva House,207
 Dixieland,277
 Dizi,64
 Djembe,114
 Djent,357
 Dombra,60
 Dong-Yo,175
 Doo-Wop,363
 Doom Metal,386
 Doomcore,241
 Dortmund Indie,100
 Doujin,215
 Downtempo,229
 Downtempo Fusion,147
 Draaiorgel,95
 Dragspel,176
 Drama,186
 Dream Pop,467
 Dream Trance,97
 Dreamgaze,188
 Dreamo,355
 Dresden Indie,118
 Drift,362
 Drill,210
 Drill and Bass,330
 Drone,312
 Drone Ambient,103
 Drone Folk,179
 Drone Metal,307
 Drone Psych,211
 Dronescape,168
 Drum and Bass,481
 Drumfunk,292
 Dub,413
 Dub Metal,123
 Dub Product,143
 Dub Reggae,168
 Dub Techno,301
 Dublin Indie,231
 Dubstep,296
 Dubstep Product,150
 Dubsteppe,172
 Duduk,104
 Duluth Indie,112
 Dundee Indie,99
 Dunedin Indie,240
 Dunedin Sound,146
 Dungeon Synth,181
 Duranguense,450
 Dutch Americana,122
 Dutch Black Metal,124
 Dutch Blues,170
 Dutch Cabaret,184
 Dutch Contemporary Classical,139
 Dutch Death Metal,214
 Dutch Disney,73
 Dutch Drill,103
 Dutch Experimental,145
 Dutch Experimental Electronic,128
 Dutch Folk,101
 Dutch Hip Hop,756
 Dutch House,214
 Dutch Idol Pop,190
 Dutch Indie,372
 Dutch Indie Rock,229
 Dutch Jazz,237
 Dutch Metal,165
 Dutch Moombahton,113
 Dutch Musical,119
 Dutch Pop,684
 Dutch Prog,116
 Dutch Punk,191
 Dutch Punk Rock,99
 Dutch R&B,93
 Dutch Rock,464
 Dutch Singer-Songwriter,115
 Dutch Tech House,122
 Dutch Trap,113
 Dutch Underground Hip Hop,109
 Dutch Urban,483
 Dweilorkest,203
 Düsseldorf Electronic,153
 Düsseldorf Indie,104
 Dětské Písničky,119
 E6fi,135
 Early Avant Garde,76
 Early French Punk,84
 Early Modern Classical,335
 Early Music,387
 Early Music Choir,153
 Early Music Ensemble,340
 Early Reggae,155
 Early Romantic Era,219
 East Anglia Indie,166
 East Coast Hip Hop,321
 East Coast Reggae,141
 Eastern Bloc Groove,189
 Easy Listening,389
 Easycore,365
 Eau Claire Indie,198
 Ectofolk,295
 Edinburgh Indie,152
 Edinburgh Metal,110
 Edmonton Indie,405
 El Paso Indie,128
 Electra,362
 Electric Bass,226
 Electric Blues,423
 Electro,438
 Electro Bailando,292
 Electro Dub,213
 Electro House,1004
 Electro Jazz,269
 Electro Latino,210
 Electro Swing,306
 Electro Trash,235
 Electro-Industrial,450
 Electroacoustic Composition,111
 Electroacoustic Improvisation,194
 Electroclash,192
 Electrofox,234
 Electronic Djent,107
 Electronic Rock,117
 Electronic Trap,531
 Electronica,647
 Electronicore,184
 Electropop,812
 Electropowerpop,197
 Electrónica Cristiana,105
 Elektropunk,167
 Emo,535
 Emo Punk,318
 Emo Rap,484
 Emocore,101
 Emoviolence,108
 English Baroque,98
 English Indie Rock,485
 English Renaissance,185
 Enka,358
 Entehno,398
 Environmental,399
 Epic Doom,121
 Epicore,399
 Er Ge,150
 Erhu,93
 Erotica,100
 Escape Room,607
 Esperanto,101
 Essex Indie,160
 Ethereal Gothic,188
 Ethereal Wave,301
 Etherpop,269
 Ethio-Jazz,98
 Ethnomusicology,159
 Ethnotronica,366
 Euphonium,104
 Euphoric Hardstyle,283
 Eurobeat,95
 Eurodance,412
 Europop,745
 Euroska,213
 Eurovision,541
 Euskal Indie,139
 Euskal Metal,140
 Euskal Rock,355
 Exotica,265
 Experimental,399
 Experimental Ambient,241
 Experimental Bass,103
 Experimental Big Band,102
 Experimental Black Metal,146
 Experimental Club,161
 Experimental Dubstep,240
 Experimental Electronic,194
 Experimental Folk,101
 Experimental Hip Hop,181
 Experimental House,147
 Experimental Indie,100
 Experimental Jazz,148
 Experimental Percussion,95
 Experimental Poetry,87
 Experimental Pop,662
 Experimental Psych,213
 Experimental Rock,459
 Experimental Synth,120
 Experimental Techno,248
 Experimental Vocal,101
 Fado,325
 Fake,662
 Fallen Angel,627
 Family Gospel,190
 Faroese Folk,129
 Faroese Indie,130
 Faroese Jazz,84
 Faroese Pop,240
 Faroese Rock,104
 Fast Melodic Punk,293
 Fidget House,216
 Field Recording,193
 Filmi,732
 Filter House,368
 Filthstep,300
 Final Fantasy,130
 Fingerstyle,313
 Finnish Black Metal,170
 Finnish Blues,117
 Finnish Choir,99
 Finnish Classical,100
 Finnish Dance Pop,531
 Finnish Death Metal,361
 Finnish Doom Metal,256
 Finnish Electro,109
 Finnish Electronic,114
 Finnish Folk,151
 Finnish Hardcore,154
 Finnish Hip Hop,549
 Finnish Indie,478
 Finnish Jazz,210
 Finnish Metal,470
 Finnish Pop,479
 Finnish Power Metal,134
 Finnish Psychedelic Rock,117
 Finnish Punk,332
 Finnish Reggae,95
