vertex_id,x,y
6DkUtEi0XgqV8LmnbDVpna,-0.19567105174064636,-0.6756654381752014
5gdW6VVL4UNnqtvGs5yyjJ,-0.17697784304618835,-0.6582973003387451
67dgZaF5Jw38my0ch6npwA,-0.1778566837310791,-0.6145151257514954
0y3Nx4oWFaDWrNLm5krp5j,-0.17802320420742035,-0.5963042378425598
2zKk6ANZuNK0WJDdop8nif,-0.1756744384765625,-0.6184911131858826
3iy26SHPt8KbzUAi9VRdyM,-0.18112514913082123,-0.725633442401886
6YhHiqVK2iXChC0sLs7oe9,0.7747606039047241,-0.11305000633001328
 Austindie,0.7466345429420471,-0.15763215720653534
16aAgJeguqu6d3xWlWYsb8,0.7627940773963928,-0.0936199203133583
6n0aMVnjYmu9QeMk1bdu2E,0.7196561098098755,-0.07545696943998337
2DvlGO6YnPP4rEKRMfvt3Y,0.7843025922775269,-0.10371347516775131
1OM0Fmu875HxaCQLKtmDZH,0.7742990255355835,-0.1139664500951767
4PzeZUQKWjA4aM1izknQWR,0.7228158116340637,-0.07662434875965118
5NZRzJerw1LqZ25RHGHRI6,0.7745611071586609,-0.11114440858364105
2gdZn7BxY8Bf6OkbPd15Ka,0.7064003944396973,-0.07102994620800018
6i1Fko6KjH5BUXPVP7N7Q6,0.7353970408439636,-0.09257033467292786
3RzcaDaEicw3bOgCRYRorC,0.7694288492202759,-0.10305161029100418
0s1hNlbYRnkJH9q6G4uxH6,0.773492157459259,-0.10710472613573074
75TFoAwIT2ZOBK0dSLOfPU,0.7466760277748108,-0.08719156682491302
1vAM3U1Z7wTkqZ0DfURI6v,0.733460545539856,-0.08092014491558075
3HsJTxuOZh6FCBo8W6ymcz,0.7930983304977417,-0.10859152674674988
7i0IeF9OxBvfnAe8SCa6ne,0.7226013541221619,-0.14225289225578308
4L5IaxVyaTWrv79p3Fvbo2,0.6855184435844421,-0.06598728895187378
3633onVYY5xQz55icqeqvq,0.6973406672477722,-0.06117216870188713
6wKEZmqoDu6PwcPzFl9cI5,0.7674175500869751,-0.11569977551698685
7CgmHZzTL76NNJIw0dnkdG,0.6668775677680969,-0.09489108622074127
3YFK7LMHrOUqC96EM1fv4l,0.6907768845558167,-0.06693903356790543
1aOhNj7DQXjy9DvA8Sqrys,0.7464953064918518,-0.08709679543972015
6FSTB2gcQwVOkMU5b4WEs9,0.6657947897911072,-0.11543828994035721
0qAQX6QPwwtkNnZoY7e5jC,0.748512327671051,-0.10316307097673416
5YTmIiKeG2wlzdSs3rY3jI,0.7021893858909607,-0.0621822327375412
4uliFvEHEhpz3reZ3Z3c3O,0.6880749464035034,-0.06546182930469513
0BBqt18LIS77bqzGcrszYl,0.7384109497070312,-0.08312943577766418
54SadCWWhxN85bplBKVtfm,0.7686979174613953,-0.10269803553819656
0JD8vhpiGQJO1lprnAVYTu,0.77757728099823,-0.10173612087965012
7qOYIsNi3d8ZJ86kjIbeI7,0.6968656778335571,-0.0688830018043518
2atf946FbB7wpXr2Kwdx1t,0.760197639465332,-0.09532023966312408
1IV6MmzUIGYNRPTSNMBdhn,0.7534539103507996,-0.111859992146492
7q8naTQF4t4zpuadbQuaQY,0.7413281202316284,-0.08450515568256378
2EOVO3oj3jGGlHtny7l3RD,-0.4191815257072449,0.468877911567688
 Bass Music,-0.4028201997280121,0.43330633640289307
0SxrRiPi9jqOhISdjBelfU,-0.48281604051589966,0.5291871428489685
7Bzyr2VDVOAIU4o0KpSWnp,-0.4115909934043884,0.4456976354122162
7o71V9ORhk5GSZEAiXSFyv,-0.4823299050331116,0.5594549775123596
1DxvkBAExfcsgq8H916RUL,-0.4861568212509155,0.5418815612792969
0Ip2pWYQmo8NUxKql20QPk,-0.41372931003570557,0.44820311665534973
0Ic9ROvLn2af743GSOtZIA,-0.45305871963500977,0.49028170108795166
6Vw4ruGsBVrEzkWEJifTPS,-0.4375384449958801,0.48143380880355835
46MTErkMonXd2RURhe2H2q,-0.4722996652126312,0.524834930896759
20YfhQiwRzzQgrltg5rGE5,-0.43870389461517334,0.48301267623901367
2BForZvdNhvnNDo5om18Rf,-0.4110344350337982,0.5551676154136658
3mc0OBE1gWmj6HRgQK5Z1t,-0.43252208828926086,0.4745323657989502
763CSL9s7xd0tAPCrLysYc,-0.4391933083534241,0.4676251709461212
2JsQdDbuwFYNwykifahaYL,-0.45409640669822693,0.50297611951828
0xHajFt9da19XukzC2z1Sk,-0.47777625918388367,0.530672013759613
5nMIilS1rNrcJGJIGlacSc,-0.4823531210422516,0.5361649394035339
6f1S3mOpU4TeoTZOJCmRXl,-0.4959225356578827,0.511261522769928
3Q1Vg1lHig5hml8BAEwElm,-0.40298596024513245,0.44272708892822266
0eHYHJ7tpSXYvka4zgejeG,-0.5741267204284668,0.38830941915512085
4TQmCn0e9L7XTiKY4Hk8X4,-0.42150095105171204,0.45887240767478943
3u8t4yJcbYFYzipDYQN59H,-0.4212498366832733,0.45851290225982666
4G3G1y9JmUsv4we3v7YapO,-0.44794702529907227,0.4952017664909363
6Kr2bDxMoKqDAXWoPm9vfy,-0.3915420174598694,0.45633238554000854
5gNPocYQWnTLyjRI9ZHqHX,-0.47083914279937744,0.5228033065795898
4KeuCAsq7wXLssyigUnAQh,-0.433505654335022,0.44721856713294983
